# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
aedn	散成	1	12013
aedp	𧃚	0	0
aee	藐	3	19813
aee	𢒄	0	0
aee	𢒅	0	0
aeeb	𦗿	0	0
aeeb	𦘃	0	0
aeee	𦾜	0	0
aeee	𧀔	0	0
aeef	萠	0	0
aeef	薶	0	0
aeeg	𦳎	0	0
aeej	蒯	0	15438
aeem	散股	1	0
aeem	𧂀	0	0
aeem	𩕕	0	0
aeeq	藐	0	19813
aef	𢎀	0	0
aefb	菜地	1	16466
aefc	散去	1	20480
aefc	萲	0	0
aefc	𢻎	0	0
aefg	菜干	1	10129
aefj	藸	0	0
aefn	散场	1	15840
aefn	𦯟	0	0
aeg	苴	3	14589
aega	散开	1	22871
aege	菜青	1	0
aegf	苴	0	14589
aegf	𦲻	0	0
aegk	菜豆	1	12338
aegl	莇	0	0
aegl	𦾕	0	0
aego	散灭	1	0
aegr	其貌不扬	1	13067
aegy	䔕	0	0
aehi	散步	1	28162
aehk	菜点	1	11868
aehq	𦸡	0	0
aeih	黄脸婆	1	12041
aeii	散水	1	15264
aeij	散漫	1	17324
aeim	菜油	1	13781
aeio	七月流火	1	0
aeiq	散光	1	14101
aeis	散酒	1	11687
aej	苚	3	0
aejj	𦮯	0	0
aejn	﨟	0	0
aejr	𦼳	0	0
aek	𢦨	0	0
aekf	菜叶	1	15334
aekk	菜品	1	20514
aekx	莻	0	0
aelb	荕	0	0
